hmdbId,kingdom,superClass,class,subClass
HMDB00115,Organic compounds,Organic acids and derivatives,Hydroxy acids and derivatives,Alpha hydroxy acids and derivatives
HMDB02639,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Bile acids, alcohols and derivatives
HMDB11733,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB00759,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB00721,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB00128,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB00132,Organic compounds,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives
HMDB00133,Organic compounds,Nucleosides, nucleotides, and analogues,Purine nucleosides,NA
HMDB03466,Organic compounds,Organoheterocyclic compounds,Lactones,Gamma butyrolactones
HMDB00705,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters
HMDB00714,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzamides
HMDB00870,Organic compounds,Organonitrogen compounds,Amines,Aralkylamines
HMDB00177,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB00742,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB00719,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB01928,Organic compounds,Organoheterocyclic compounds,Thiadiazines,Benzothiadiazines
HMDB00965,Organic compounds,Organonitrogen compounds,Quaternary ammonium salts,NA
HMDB00157,Organic compounds,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives
HMDB02271,Organic compounds,Organoheterocyclic compounds,Azoles,Imidazoles
HMDB00197,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Indolyl carboxylic acids and derivatives
HMDB00671,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Indolyl carboxylic acids and derivatives
HMDB00195,Organic compounds,Nucleosides, nucleotides, and analogues,Purine nucleosides,NA
HMDB00213,Organic compounds,Organooxygen compounds,Alcohols and polyols,Cyclic alcohols and derivatives
HMDB00172,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB00688,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters
HMDB00684,Organic compounds,Benzenoids,Benzene and substituted derivatives,Butyrophenones
HMDB00190,Organic compounds,Organic acids and derivatives,Hydroxy acids and derivatives,Alpha hydroxy acids and derivatives
HMDB00638,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB02250,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters
HMDB00687,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB13243,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB00673,Organic compounds,Lipids and lipid-like molecules,Lineolic acids and derivatives,NA
HMDB01388,Organic compounds,Lipids and lipid-like molecules,Lineolic acids and derivatives,NA
HMDB05006,Organic compounds,Organoheterocyclic compounds,Pyrroles,Substituted pyrroles
HMDB04159,Organic compounds,Organoheterocyclic compounds,Tetrapyrroles and derivatives,NA
HMDB00182,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB00156,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB02095,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters
HMDB12253,Organic compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Oligosaccharides
HMDB12254,Organic compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Oligosaccharides
HMDB00163,Organic compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds
HMDB01296,Organic compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Oligosaccharides
HMDB01262,Organic compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Oligosaccharides
HMDB00169,Organic compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Monosaccharides
HMDB01078,Organic compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Monosaccharides
HMDB02259,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB01921,Organic compounds,Organonitrogen compounds,Guanidines,Biguanides
HMDB00696,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB00552,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Tricarboxylic acids and derivatives
HMDB01932,Organic compounds,Benzenoids,Benzene and substituted derivatives,Phenols and derivatives
HMDB00211,Organic compounds,Organooxygen compounds,Alcohols and polyols,Cyclic alcohols and derivatives
HMDB00806,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB02000,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB04193,Organic compounds,Organoheterocyclic compounds,Pyridines and derivatives,Pyridinecarboxylic acids and derivatives
HMDB03331,Organic compounds,Nucleosides, nucleotides, and analogues,Purine nucleosides,NA
HMDB01563,Organic compounds,Nucleosides, nucleotides, and analogues,Purine nucleosides,NA
HMDB04824,Organic compounds,Nucleosides, nucleotides, and analogues,Purine nucleosides,NA
HMDB00446,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB05862,Organic compounds,Nucleosides, nucleotides, and analogues,Purine nucleosides,NA
HMDB00206,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB01325,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB00766,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB04620,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB06028,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB00812,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB01067,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB00215,Organic compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Aminosaccharides
HMDB00803,Organic compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Aminosaccharides
HMDB02817,Organic compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Aminosaccharides
HMDB01062,Organic compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Aminosaccharides
HMDB06029,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB00532,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB11756,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB11745,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB00230,Organic compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Sugar acids and derivatives
HMDB03357,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB00512,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB02931,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB00866,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB11757,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Amino acids, peptides, and analogues
HMDB01923,Organic compounds,Benzenoids,Naphthalenes,NA
HMDB02368,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
HMDB01406,Organic compounds,Organoheterocyclic compounds,Pyridines and derivatives,Pyridinecarboxylic acids and derivatives
